ComputerName,Timestamp,CpuUsage,RamUsage,FreeDiskGbInC,DiskUsagePercentInC
WINSRV-JCRUZ,2023-10-5 6:43:25,27.18,86.22,50.88,31.69
WINSRV-JCRUZ,2023-10-5 22:17:11,43.14,99.74,54.84,32.43
WINSRV-JCRUZ,2023-10-5 11:42:23,92.8,20.9,51.82,30.26
WINSRV-JCRUZ,2023-10-5 14:18:46,67.26,98.2,50.68,32.98
WINSRV-JCRUZ,2023-10-5 22:2:49,85.08,45.77,54.92,32.37
WINSRV-JCRUZ,2023-10-5 8:1:18,58.51,23.22,50.68,31.74
WINSRV-JCRUZ,2023-10-5 10:8:26,58.56,47.24,54.25,33.14
WINSRV-JCRUZ,2023-10-5 10:10:55,36.02,50.11,51.08,31.26
WINSRV-JCRUZ,2023-10-5 3:14:28,11.06,54.13,50.86,31.78
WINSRV-JCRUZ,2023-10-5 4:13:29,63.87,66.58,54.61,33.2
