ComputerName,Timestamp,CpuUsage,RamUsage,FreeDiskGbInC,DiskUsagePercentInC
WINSRV-JCRUZ,2023-10-10 17:14:19,49.01,48.78,50.88,32.08
WINSRV-JCRUZ,2023-10-10 18:23:14,40.92,75.48,52.31,31.79
WINSRV-JCRUZ,2023-10-10 3:41:22,17.29,23.49,52.9,33.48
WINSRV-JCRUZ,2023-10-10 0:33:9,17.72,86.16,51.95,30.66
WINSRV-JCRUZ,2023-10-10 20:52:48,33.62,50.66,55.78,31.18
WINSRV-JCRUZ,2023-10-10 20:58:23,82.58,60.25,55.41,33.47
WINSRV-JCRUZ,2023-10-10 7:0:4,18.31,57.71,54.84,30.71
WINSRV-JCRUZ,2023-10-10 10:30:56,28.09,95.37,50.73,32.45
WINSRV-JCRUZ,2023-10-10 3:52:56,78.81,48.86,52.4,33.34
WINSRV-JCRUZ,2023-10-10 10:43:18,64.14,74.68,54.83,30.23
