ComputerName,Timestamp,CpuUsage,RamUsage,FreeDiskGbInC,DiskUsagePercentInC
WINSRV-JCRUZ,2023-10-4 4:6:10,78.05,56.08,55.41,32.69
WINSRV-JCRUZ,2023-10-4 23:54:2,55.73,33.64,52.24,33.38
WINSRV-JCRUZ,2023-10-4 9:30:53,80.96,74.25,51.88,31.99
WINSRV-JCRUZ,2023-10-4 13:3:2,21.21,97.45,54.79,33.1
WINSRV-JCRUZ,2023-10-4 11:45:32,68.99,43.35,50.68,33.53
WINSRV-JCRUZ,2023-10-4 15:18:5,46.74,84.06,54.87,32.49
WINSRV-JCRUZ,2023-10-4 3:17:54,7.9,50.44,53.33,33.52
WINSRV-JCRUZ,2023-10-4 0:5:6,19.06,75.71,55.25,32.21
WINSRV-JCRUZ,2023-10-4 2:35:39,58.68,82.43,52.95,30.48
WINSRV-JCRUZ,2023-10-4 0:59:18,0.45,82.33,50.8,33.02
