ComputerName,Timestamp,CpuUsage,RamUsage,FreeDiskGbInC,DiskUsagePercentInC
WINSRV-JCRUZ,2023-10-7 0:47:57,82.72,42.77,51.94,33.99
WINSRV-JCRUZ,2023-10-7 17:57:20,8.55,89.15,52.12,31.9
WINSRV-JCRUZ,2023-10-7 3:15:14,58.51,77.76,50.49,30.57
WINSRV-JCRUZ,2023-10-7 23:28:16,68.45,37.95,55.01,31.41
WINSRV-JCRUZ,2023-10-7 6:29:38,43.19,89.33,50.33,31.73
WINSRV-JCRUZ,2023-10-7 21:6:50,64.5,87.69,54.43,33.31
WINSRV-JCRUZ,2023-10-7 19:14:8,4.61,98.1,51.83,32.74
WINSRV-JCRUZ,2023-10-7 2:54:24,19.24,34.51,50.44,33.11
WINSRV-JCRUZ,2023-10-7 21:19:34,16.99,61.71,53.54,31.3
WINSRV-JCRUZ,2023-10-7 17:19:36,58.98,74.78,54.74,32.31
