ComputerName,Timestamp,CpuUsage,RamUsage,FreeDiskGbInC,DiskUsagePercentInC
WINSRV-JCRUZ,2023-10-9 11:1:49,90.07,72.77,52.96,33.51
WINSRV-JCRUZ,2023-10-9 1:23:32,55.94,68.72,55.08,32.86
WINSRV-JCRUZ,2023-10-9 23:43:2,59.83,61.7,51.66,33.48
WINSRV-JCRUZ,2023-10-9 3:30:38,34.55,21.63,53.18,32.34
WINSRV-JCRUZ,2023-10-9 23:8:49,55.93,51.41,51.31,33.57
WINSRV-JCRUZ,2023-10-9 17:51:57,15.81,44.25,52.47,33.44
WINSRV-JCRUZ,2023-10-9 5:23:1,10.57,35.58,50.33,32.16
WINSRV-JCRUZ,2023-10-9 3:1:52,89.43,57.72,50.24,33.28
WINSRV-JCRUZ,2023-10-9 18:27:13,55.34,59.19,53.94,33.26
WINSRV-JCRUZ,2023-10-9 6:17:29,65.27,24.4,55,31.1
